bezirk,schuljahr,name,note,schul_nr
Lichtenberg,2022,Alexander-Puschkin-Oberschule,2.0,11K01
Lichtenberg,2022,Mildred-Harnack-Oberschule,"nicht übernachgefragt
",11K02
Lichtenberg,2022,Gutenberg-Oberschule,1.5,11K04
Lichtenberg,2022,Fritz-Reuter-Oberschule,2.2,11K05
Lichtenberg,2022,Schule am Rathaus,"nicht übernachgefragt
",11K06
Lichtenberg,2022,Vincent-van-Gogh-Oberschule,"nicht übernachgefragt
",11K07
Lichtenberg,2022,Schule am Tierpark,"nicht übernachgefragt
",11K08
Lichtenberg,2022,Philipp-Reis-Oberschule,"nicht übernachgefragt
",11K09
Lichtenberg,2022,Grüner Campus Malchow,Arbeits-und Sozialverhalten 6 Plätze (12 u. 11 Pkt.) ,11K10
Lichtenberg,2022,Paul-Schmidt-Schule,"nicht übernachgefragt
",11K11
Lichtenberg,2022,Paul-und-Charlotte-Kniese-Schule,"nicht übernachgefragt
",11K12
Lichtenberg,2022,11K13,"nicht übernachgefragt
",11K13
Lichtenberg,2022,11K14,"nicht übernachgefragt
",11K14
Lichtenberg,2022,Johann-Gottfried-Herder,1.2,11Y02
Lichtenberg,2022,Hans-und-Hilde-Coppi,"nicht übernachgefragt
",11Y05
Lichtenberg,2022,Barnim,1.6,11Y09
Lichtenberg,2022,Manfred-von-Ardenne,1.9,11Y10
Lichtenberg,2022,Immanuel-Kant,1.0,11Y11
Lichtenberg,2023,Alexander-Puschkin-Oberschule,2.0,11K01
Lichtenberg,2023,Mildred-Harnack-Oberschule,2.6,11K02
Lichtenberg,2023,Gutenberg-Oberschule,1.6,11K04
Lichtenberg,2023,Fritz-Reuter-Oberschule,2.2,11K05
Lichtenberg,2023,Schule am Rathaus,2.8,11K06
Lichtenberg,2023,Vincent-van-Gogh-Oberschule,ohne Note,11K07
Lichtenberg,2023,Schule am Tierpark,ohne Note,11K08
Lichtenberg,2023,Philipp-Reis-Oberschule,ohne Note,11K09
Lichtenberg,2023,Grüner Campus Malchow,"Arbeits-und Sozialverhalten 11 Plätze (12, 11, 10 Pkt.) ",11K10
Lichtenberg,2023,Paul-Schmidt-Schule,ohne Note,11K11
Lichtenberg,2023,Paul-und-Charlotte-Kniese-Schule,ohne Note,11K12
Lichtenberg,2023,11K13,ohne Note,11K13
Lichtenberg,2023,11K14,2.5,11K14
Lichtenberg,2023,Johann-Gottfried-Herder,1.0,11Y02
Lichtenberg,2023,Hans-und-Hilde-Coppi,"29 Plätze Musikkl., Ø Förderprognose - Umrechnung in Pkt.
",11Y05
Lichtenberg,2023,Barnim,1.6,11Y09
Lichtenberg,2023,Manfred-von-Ardenne,ohne Note,11Y10
Lichtenberg,2023,Immanuel-Kant,1.1,11Y11
Lichtenberg,2025,Alexander-Puschkin-Schule,2.0,11K01
Lichtenberg,2025,Mildred-Harnack-Schule,2.4,11K02
Lichtenberg,2025,Gutenberg-Schule,1.5,11K04
Lichtenberg,2025,Fritz-Reuter-Schule,2.2,11K05
Lichtenberg,2025,Schule am Rathaus,ohne Note,11K06
Lichtenberg,2025,Vincent-van-Gogh-Schule,ohne Note,11K07
Lichtenberg,2025,Schule am Tierpark,ohne Note,11K08
Lichtenberg,2025,Philipp-Reis-Schule,ohne Note,11K09
Lichtenberg,2025,Grüner Campus Malchow,Arbeits-und Sozialverhalten 17 Plätze (12 Pkt.),11K10
Lichtenberg,2025,Paul-Schmidt-Schule,ohne Note,11K11
Lichtenberg,2025,Paul-und-Charlotte-Kniese-Schule,ohne Note,11K12
Lichtenberg,2025,13. Schule,ohne Note,11K13
Lichtenberg,2025,14. Schule,ohne Note,11K14
Lichtenberg,2025,May-Ayim-Schule,2.2,11K15
Lichtenberg,2025,Sekundarschule Falkenberger Chaussee,ohne Note,11K16
Lichtenberg,2025,Johann-Gottfried-Herder-Gymnasium,1.4,11Y02
Lichtenberg,2025,Hans-und-Hilde-Coppi-Gymnasium,ohne Note,11Y05
Lichtenberg,2025,Barnim-Gymnasium,1.4,11Y09
Lichtenberg,2025,Manfred-von-Ardenne-Gymnasium,ohne Note,11Y10
Lichtenberg,2025,Immanuel-Kant-Gymnasium,1.2,11Y11
Lichtenberg,2025,Gymnasium Allee der Kosmonauten,ohne Note,11Y12
Pankow,2023,Heinz-Brandt-Schule,1.5,03K05
Pankow,2023,Carl-von-Ossietzky-Gymnasium,1.0,03Y08
Pankow,2023,Kurt-Tucholsky-Schule,1.8,03K02
Pankow,2023,Felix-Mendelssohn-Bartholdy-Gymnasium,1.4,03Y13
Pankow,2023,Konrad-Duden-Schule,2.4,03K03
Pankow,2023,Heinrich-Schliemann-Gymnasium,1.4,03Y04
Pankow,2023,Kurt-Schwitters-Schule,1.6,03K01
Pankow,2023,Käthe-Kollwitz-Gymnasium,Punktsumme 5,03Y03
Pankow,2023,Reinhold-Burger-Schule,2.4,03K06
Pankow,2023,Primo-Levi-Gymnasium,1.2,03Y14
Pankow,2023,Hagenbeck-Schule,2.5,03K08
Pankow,2023,Max-Delbrück-Gymnasium,1.4,03Y15
Pankow,2023,Wilhelm-von-Humboldt-Schule,ohne Note,03K11
Pankow,2023,Rosa-Luxemburg-Gymnasium,Punktsumme 10-8,03Y10
Pankow,2023,Janusz-Korczak-Schule,2.7,03K09
Pankow,2023,Robert-Havemann-Gymnasium,ohne Note,03Y16
Pankow,2023,Tesla-Schule,ohne Note,03K07
Pankow,2023,Gymnasium am Europasportpark,ohne Note,03Y17
Pankow,2023,Hufeland-Schule,ohne Note,03K10
Pankow,2023,Gustave-Eiffel-Schule,ohne Note,03K04
Pankow,2024,Kurt-Schwitters-Schule,1.5,03K01
Pankow,2024,Kurt-Tucholsky-Schule,1.8,03K02
Pankow,2024,Konrad-Duden-Schule,2.4,03K03
Pankow,2024,Gustave-Eiffel-Schule,ohne Note,03K04
