schul_nr,schulname,typ,anmeldungen,plaetze,durchschnittsnote,bemerkung
11K01,Alexander-Puschkin-Schule,ISS,184,104,2.0,ohne Losverfahren
11K02,Mildred-Harnack-Schule,ISS,122,104,2.4,ohne Losverfahren (Regelklasse)
11K04,Gutenberg-Schule,ISS,262,130,1.5,ohne Losverfahren
11K05,Fritz-Reuter-Schule,ISS,266,130,2.2,ohne Losverfahren
11K06,Schule am Rathaus,ISS,81,96,,nicht übernachgefragt
11K07,Vincent-van-Gogh-Schule,ISS,64,156,,nicht übernachgefragt
11K08,Schule am Tierpark,ISS,61,156,,nicht übernachgefragt
11K09,Philipp-Reis-Schule,ISS,114,130,,nicht übernachgefragt
11K10,Grüner Campus Malchow,ISS,218,182,,Arbeits-und Sozialverhalten 17 Plätze (12 Pkt.)
11K11,Paul-Schmidt-Schule,ISS,53,130,,nicht übernachgefragt
11K12,Paul-und-Charlotte-Kniese-Schule,ISS,93,104,,nicht übernachgefragt
11K13,13. Schule,ISS,102,104,,nicht übernachgefragt
11K14,14. Schule,ISS,130,130,,nicht übernachgefragt
11K15,May-Ayim-Schule,ISS,275,156,2.2,ohne Losverfahren
11K16,Sekundarschule Falkenberger Chaussee,ISS,33,156,,nicht übernachgefragt
11Y02,Johann-Gottfried-Herder-Gymnasium,Gym,108,96,1.4,ohne Losverfahren
11Y05,Hans-und-Hilde-Coppi-Gymnasium,Gym,124,128,,nicht übernachgefragt
11Y09,Barnim-Gymnasium,Gym,185,128,1.4,ohne Losverfahren
11Y10,Manfred-von-Ardenne-Gymnasium,Gym,108,160,,nicht übernachgefragt
11Y11,Immanuel-Kant-Gymnasium,Gym,222,160,1.2,"Profil 44/32, Regel 178/128, ohne Losverfahren"
11Y12,Gymnasium Allee der Kosmonauten,Gym,89,160,,nicht übernachgefragt
